summary,dtstart,dtend
T519 - lab section,2022-01-27 19:00:00+00:00,2022-01-27 20:00:00+00:00
T519 lab section #1,2022-01-27 21:30:00+00:00,2022-01-27 22:30:00+00:00
Lab section,2022-01-31 16:30:00+00:00,2022-01-31 17:30:00+00:00
Alaa Office Hours [Gutman 320],2022-02-02 10:30:00-05:00,2022-02-02 13:30:00-05:00
Daniel Office Hours [Gutman 320],2022-02-05 17:15:00+00:00,2022-02-05 21:45:00+00:00
Daniel Office Hours [Gutman 320],2022-02-07 21:00:00+00:00,2022-02-08 01:00:00+00:00
Daniel Office Hours [Gutman 320],2022-02-08 19:00:00+00:00,2022-02-09 01:00:00+00:00
Alaa Office Hours [Gutman 320],2022-02-09 13:00:00-05:00,2022-02-09 15:00:00-05:00
Lab Section,2022-02-10 18:00:00+00:00,2022-02-10 19:00:00+00:00
Lab sections - electronics,2022-02-24 18:00:00+00:00,2022-02-24 19:00:00+00:00
Lab sections - electronics,2022-02-28 18:00:00+00:00,2022-02-28 19:00:00+00:00
Daniel Office Hours,2022-02-28 16:00:00-05:00,2022-02-28 20:30:00-05:00
Daniel Office Hours,2022-03-01 15:15:00-05:00,2022-03-01 20:30:00-05:00
Alaa Office Hours [Gutman 320],2022-03-09 10:00:00-05:00,2022-03-09 12:00:00-05:00
Daniel Office Hours [Gutman 320],2022-03-22 15:30:00-04:00,2022-03-22 20:30:00-04:00
Alaa Office Hours [Gutman 320],2022-03-23 13:00:00-04:00,2022-03-23 15:00:00-04:00
Lab sections - Processing,2022-03-24 17:00:00+00:00,2022-03-24 18:00:00+00:00
Lab sections - Processing,2022-03-28 17:00:00+00:00,2022-03-28 18:00:00+00:00
Daniel Office Hours,2022-04-04 20:00:00+00:00,2022-04-05 02:00:00+00:00
Daniel Office Hours [Gutman 320],2022-04-05 15:15:00-04:00,2022-04-05 20:30:00-04:00
Alaa Office Hours [Gutman 320],2022-04-06 13:00:00-04:00,2022-04-06 15:00:00-04:00
Lab sections - 3D modeling,2022-04-07 17:00:00+00:00,2022-04-07 18:00:00+00:00
Lab sections - 3D modeling,2022-04-11 17:00:00+00:00,2022-04-11 18:00:00+00:00
Alaa Office Hours [Gutman 320],2022-04-13 13:00:00-04:00,2022-04-13 15:00:00-04:00
Daniel Office Hours,2022-04-18 19:00:00+00:00,2022-04-19 02:00:00+00:00
"Lab sections - MVPs, user testing",2022-04-25 18:00:00+00:00,2022-04-25 19:00:00+00:00
Daniel Office Hours,2022-04-25 20:00:00+00:00,2022-04-26 02:00:00+00:00
Bertrand office hours,2022-04-26 17:30:00+00:00,2022-04-26 18:30:00+00:00
Iulian office hours [Zoom],2022-04-27 20:00:00+00:00,2022-04-27 21:30:00+00:00
Reading period,2022-04-28 00:00:00-04:00,2022-05-05 00:00:00-04:00
Iulian office hours [EIS],2022-05-02 17:30:00+00:00,2022-05-02 18:30:00+00:00
Daniel Office Hours,2022-05-02 20:00:00+00:00,2022-05-03 02:00:00+00:00
Bertrand office hours,2022-05-03 17:30:00+00:00,2022-05-03 18:30:00+00:00
Daniel Office Hours,2022-05-03 19:15:00+00:00,2022-05-04 00:30:00+00:00
Iulian office hours [EIS],2022-05-04 19:00:00+00:00,2022-05-04 20:30:00+00:00
